index,Wind Speed,efficiency
2015-01-02,5.18,0.8605086925669682
2015-01-03,5.71,0.8979177754124534
2015-01-04,4.06,0.8547986517651234
2015-01-05,2.24,0.4801867127904914
2015-01-06,1.88,0.20510688309384423
2015-01-07,3.9299998,0.46967580273194964
2015-01-08,3.06,0.5545059428774171
2015-01-09,4.92,0.9029736562001064
2015-01-10,4.2,0.7094088167464964
2015-01-11,6.2799997,0.855885222636154
2015-01-12,5.22,0.8307610431080362
2015-01-13,4.18,0.7832623736029803
2015-01-14,3.1599998,0.5693409615043463
2015-01-15,2.95,0.5205007095973035
2015-01-16,3.04,0.47422166045769026
2015-01-17,2.22,0.23697223700549938
2015-01-18,1.02,0.0866484832357637
2015-01-19,1.9499999,0.10352359411034238
2015-01-20,2.6,0.17335240376086572
2015-01-21,1.3299999,0.037863668618059246
2015-01-22,2.04,0.04624578676601029
2015-01-23,2.84,0.07148084087280468
2015-01-24,2.33,0.05634646088344864
2015-01-25,2.95,0.0744744544970729
2015-01-26,1.42,0.1905823132872095
2015-01-27,2.85,0.3057366507007273
2015-01-28,3.6399999,0.4018981727869434
2015-01-29,4.14,0.6253437111938974
2015-01-30,3.6899998,0.42036987759446515
2015-01-31,3.5,0.3592890722015256
2015-02-01,2.98,0.4691990420436402
2015-02-02,1.68,0.3362936845839986
2015-02-03,2.21,0.1859699308142629
2015-02-04,1.0799999,0.03547986517651233
2015-02-05,1.76,0.029880698953343977
2015-02-06,1.76,0.12782730175625331
2015-02-07,3.27,0.5488513393649105
2015-02-08,2.6499999,0.7519292176689728
2015-02-09,2.36,0.4342624623026432
2015-02-10,1.9,0.28482570516232036
2015-02-11,1.37,0.08424250487848145
2015-02-12,2.3799999,0.09664937023239312
2015-02-13,1.8299999,0.12423496540713146
2015-02-14,1.88,0.13873736029803085
2015-02-15,2.85,0.37353645556146886
2015-02-16,5.2599998,0.7497560759269115
2015-02-17,3.59,0.525345928685471
2015-02-18,2.34,0.4012772751463544
2015-02-19,2.61,0.45582756785524214
2015-02-20,1.91,0.38079874046478623
2015-02-21,2.84,0.5432743480574774
2015-02-22,1.14,0.1522640588965762
2015-02-23,1.4,0.32510643959552954
2015-02-24,1.4599999,0.13729599077523508
2015-02-25,1.13,0.055470551711903494
2015-02-26,1.67,0.0705605818697889
2015-02-27,1.6899999,0.06505011530956183
2015-02-28,1.7099999,0.08262373602980308
2015-03-01,2.3799999,0.4581448465495831
2015-03-02,3.1699998,0.558065016852936
2015-03-03,3.24,0.6640056767784283
2015-03-04,2.3899999,0.5020622671633848
2015-03-05,1.92,0.1641054638992372
2015-03-06,1.8,0.18686801490154337
2015-03-07,1.8399999,0.342868547099521
2015-03-08,2.2,0.4440859499733901
2015-03-09,2.54,0.18106927443675716
2015-03-10,1.37,0.1842735497605109
2015-03-11,2.56,0.16997072911122937
2015-03-12,3.6799998,0.2900035479865176
2015-03-13,3.28,0.29552510200461235
2015-03-14,2.05,0.28187644136952283
2015-03-15,4.3199997,0.35357903139968067
2015-03-16,4.16,0.5863380344154693
2015-03-17,3.99,0.6060958843356395
2015-03-18,2.6599998,0.2915557920879901
2015-03-19,1.4,0.04879590207557211
2015-03-20,1.91,0.09730353024658507
2015-03-21,2.31,0.2982858790136597
2015-03-22,2.81,0.22433253503636685
2015-03-23,2.46,0.2639812843711194
2015-03-24,2.86,0.18621385488735143
2015-03-25,1.81,0.24279315238602092
2015-03-26,1.87,0.28265256342025896
2015-03-27,2.56,0.11198332446336703
2015-03-28,1.5699999,0.13505632428596773
2015-03-29,2.9299998,0.46685332160955184
2015-03-30,4.54,0.9215562355863048
2015-03-31,4.87,0.7205295369877595
2015-04-01,5.19,0.8855441724321448
2015-04-02,2.9399998,0.5056878658861096
2015-04-03,3.28,0.41728756430725567
2015-04-04,2.1299999,0.18835373425580984
2015-04-05,3.3999999,0.2659437644136952
2015-04-06,1.8399999,0.1871673762639702
2015-04-07,1.9399999,0.36183918751108746
2015-04-08,3.25,0.2904359588433564
2015-04-09,1.48,0.2099521021820117
2015-04-10,1.68,0.10156111406776655
2015-04-11,2.51,0.2137883626042221
2015-04-12,3.02,0.5774348057477382
2015-04-13,3.76,0.8796123824729466
2015-04-14,3.35,0.6238579918396311
2015-04-15,2.8,0.6661788185204897
2015-04-16,2.57,0.6410879013659748
2015-04-17,2.53,0.3325350363668618
2015-04-18,2.82,0.3640455916267518
2015-04-19,2.04,0.3075993436224942
2015-04-20,5.2,0.6234255809827923
2015-04-21,3.02,0.37065371651587725
2015-04-22,1.73,0.05522662763881497
2015-04-23,2.29,0.5193919638105375
2015-04-24,1.74,0.203809650523328
2015-04-25,2.73,0.19276654248713854
2015-04-26,2.49,0.13491218733368812
2015-04-27,2.1399999,0.2090318431789959
2015-04-28,3.37,0.3052377150966826
2015-04-29,2.2,0.300070959730353
2015-04-30,2.98,0.31804372893383004
2015-05-01,2.69,0.18365265211992193
2015-05-02,2.29,0.22794704630122406
2015-05-03,1.74,0.14050026609898883
2015-05-04,2.57,0.2964342735497605
2015-05-05,2.6699998,0.35757051623203834
2015-05-06,2.1699998,0.1629412808231329
2015-05-07,2.75,0.26514546744722367
2015-05-08,1.73,0.08314484654958311
2015-05-09,1.8199999,0.12603113358169238
2015-05-10,3.23,0.3866972680503814
2015-05-11,1.9799999,0.1194451836083023
2015-05-12,2.62,0.48528694340961503
2015-05-13,3.25,0.4913517828632251
2015-05-14,3.59,0.19822157175802732
2015-05-15,3.4099998,0.19095928685470995
2015-05-16,2.82,0.21379945006208978
2015-05-17,3.4499998,0.6040003547986518
